厚生年金2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
,新法配偶者,旧法配偶者,１、２子,３子以降,新法配偶者,旧法配偶者,１、２子,３子以降,１、２子,３子以降,
0,0,0,0,0,0,0,0,0,0.421910004,0.224366492,0
1,0,0,0,0,0,0,0,0,0.426010088,0.216649883,0
2,0,0,0,0,0,0,0,0,0.430886507,0.209608675,0
3,0,0,0,0,0,0,0,0,0.43480796,0.200961921,0
4,0,0,0,0,0,0,0,0,0.436936609,0.190791074,0
5,0,0,0,0,0,0,0,0,0.438313098,0.182263553,0
6,0,0,0,0,0,0,0,0,0.441553778,0.177691417,0
7,0,0,0,0,0,0,0,0,0.447955818,0.175536799,0
8,0,0,0,0,0,0,0,0,0.455938257,0.170576888,0
9,0,0,0,0,0,0,0,0,0.461539774,0.157510574,0
10,0,0,0,0,0,0,0,0,0.461180005,0.134906374,0
11,0,0,0,0,0,0,0,0,0.454041622,0.106780962,0
12,0,0,0,0,0,0,0,0,0.43761919,0.079478687,0
13,0,0,0,0,0,0,0,0,0.404557832,0.054752611,0
14,0,0,0,0,0,0,0,0,0.347847759,0.033782991,0
15,0,0,0,0,0,0,0,0,0.275172315,0.016182976,0
16,0,0,0,0,0,0,0,0,0.169391349,0.0063094,0
17,0,0,0,0,0,0,0,0,0.080573392,0.002226264,0
18,0,0,0,0,0,0,0,0,0.014910649,0.000785995,0
19,0,0,0,0,0.00091933,0,0.000659771,0,0.699790917,0.001357872,0
20,0,0,0,0,0.004291602,0,0.00360164,0,0.831388418,0.003371325,0
21,0,0,0,0,0.010724279,0,0.009628186,0.000439444,0.931194968,0.00694705,0
22,0,0,0,0,0.020512128,0,0.019227079,0.001520783,0.99140939,0.013183248,0
23,0,0,0,0,0.032806449,0,0.031670597,0.003042802,1.020229007,0.022767126,0
24,0,0,0,0,0.04626202,0,0.045402796,0.004618613,1.035452303,0.035320939,0
25,0,0,0,0,0.059212987,0,0.058293589,0.005875788,1.052528525,0.049272238,0
26,0,0,0,0,0.070482928,0,0.068797572,0.006711781,1.072570628,0.06235489,0
27,0,0,0,0,0.080255602,0,0.077172551,0.007446195,1.096967529,0.07354582,0
