私学共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
34,33.53657796,33.65483421,,,,,,,,,
35,34.45366047,34.5944646,,,,,,,,,
36,35.37074645,35.53596875,,,,,,,,,
37,36.28782515,36.44531601,,,,,,,,,
38,37.20491077,37.30602054,,,,,,,,,
39,38.12201191,38.07550655,,,,,,,,,
40,39.03901883,38.90131836,,,,,,,,,
41,39.95627832,39.77787399,,,,,,,,,
42,40.87315302,40.72925518,,,,,,,,,
43,41.79000851,41.74191413,,,,,,,,,
44,42.70906981,42.76147058,,,,,,,,,
45,43.62030788,43.71379322,,,,,,,,,
46,44.54742151,44.58268263,,,,,,,,,
47,45.46090549,45.44199385,,,,,,,,,
48,46.34782047,46.30879284,,,,,,,,,
49,47.26013651,47.1943782,,,,,,,,,
50,48.23190996,48.1124118,,,,,,,,,
51,49.30659291,49.0019616,,,,,,,,,
52,50.39438265,49.84986602,,,,,,,,,
53,51.3682397,50.68621542,,,,,,,,,
54,52.14162767,51.50680797,,,,,,,,,
55,52.78432056,52.35190556,,,,,,,,,
56,53.50375912,53.23895674,,,,,,,,,
57,54.40763899,54.18470845,,,,,,,,,
58,55.48465428,55.15416588,,,,,,,,,
59,56.60016249,56.10003846,,,,,,,,,
60,57.60985116,57.03735221,,,,,,,,,
61,58.51275411,57.97288545,,,,,,,,,
62,59.37776831,58.93207542,,,,,,,,,
63,60.28435809,59.90135083,,,,,,,,,
64,61.25629764,60.8763164,,,,,,,,,
65,62.28482509,61.86717222,,,,,,,,,
66,63.35633403,62.88171979,,,,,,,,,
67,64.42996309,63.92423832,,,,,,,,,
68,65.46736067,64.98688655,,,,,,,,,
69,66.43661281,66.03920601,,,,,,,,,
70,67.35623347,67.07432836,,,,,,,,,
71,68.25880422,68.08530933,,,,,,,,,
72,69.21108377,69.06823288,,,,,,,,,
73,70.2169268,70.01971594,,,,,,,,,
74,71.25481215,70.94477859,,,,,,,,,
75,72.25828327,71.86367588,,,,,,,,,
76,73.21008411,72.79023272,,,,,,,,,
77,74.11852821,73.73238249,,,,,,,,,
78,75.0206846,74.68913169,,,,,,,,,
79,75.9421204,75.6519378,,,,,,,,,
80,76.88370505,76.61482092,,,,,,,,,
81,77.82371338,77.56838174,,,,,,,,,
82,78.75828936,78.50632679,,,,,,,,,
83,79.69389401,79.4294635,,,,,,,,,
84,80.64132573,80.34784607,,,,,,,,,
85,81.56641912,81.26956921,,,,,,,,,
86,82.45109401,82.19620384,,,,,,,,,
87,83.29653168,83.1193989,,,,,,,,,
88,84.11935494,84.03272621,,,,,,,,,
89,84.93257898,84.93186234,,,,,,,,,
90,85.75094909,85.8146034,,,,,,,,,
91,86.58129605,86.68043546,,,,,,,,,
92,87.40545282,87.53580898,,,,,,,,,
93,88.22277382,88.3852768,,,,,,,,,
94,89.02465358,89.21194984,,,,,,,,,
95,89.80842624,89.97914137,,,,,,,,,
96,90.59064525,90.67101078,,,,,,,,,
97,91.38480681,91.29865138,,,,,,,,,
98,92.18865867,91.89669156,,,,,,,,,
99,92.99565143,92.49976258,,,,,,,,,
100,93.80471253,93.11797715,,,,,,,,,
101,94.61760923,93.74292016,,,,,,,,,
102,95.4234628,94.3628011,,,,,,,,,
103,96.23318529,94.98254152,,,,,,,,,
104,97.0416714,95.60328448,,,,,,,,,
105,97.85026122,96.22340371,,,,,,,,,
106,98.65900655,96.8437462,,,,,,,,,
107,99.46763253,97.46405647,,,,,,,,,
108,100.2763078,98.0843474,,,,,,,,,
109,101.0849726,98.70465665,,,,,,,,,
110,101.8936353,99.32495752,,,,,,,,,
111,102.7023013,99.94526052,,,,,,,,,
112,103.5109655,100.5655612,,,,,,,,,
113,104.3196303,101.185863,,,,,,,,,
114,105.128295,101.8061648,,,,,,,,,
115,105.9369597,102.4264666,,,,,,,,,
有子割合,RC,,,,,,,,,,
年齢,,,,,,,,,,,
15,0,,,,,,,,,,
16,0,,,,,,,,,,
17,0,,,,,,,,,,
18,0,,,,,,,,,,
19,0,,,,,,,,,,
20,0,,,,,,,,,,
21,0.003232048,,,,,,,,,,
22,0.014632413,,,,,,,,,,
23,0.027501905,,,,,,,,,,
24,0.038157889,,,,,,,,,,
25,0.053358333,,,,,,,,,,
26,0.091206063,,,,,,,,,,
27,0.163062341,,,,,,,,,,
28,0.264036952,,,,,,,,,,
29,0.374236938,,,,,,,,,,
30,0.476580945,,,,,,,,,,
31,0.566193069,,,,,,,,,,
32,0.642597238,,,,,,,,,,
33,0.701407325,,,,,,,,,,
34,0.733021948,,,,,,,,,,
35,0.736405777,,,,,,,,,,
36,0.72659527,,,,,,,,,,
37,0.720816482,,,,,,,,,,
38,0.727002161,,,,,,,,,,
39,0.738818847,,,,,,,,,,
40,0.743549723,,,,,,,,,,
41,0.736655355,,,,,,,,,,
42,0.721490847,,,,,,,,,,
43,0.703786768,,,,,,,,,,
44,0.685687348,,,,,,,,,,
45,0.664107853,,,,,,,,,,
46,0.635704377,,,,,,,,,,
47,0.599541289,,,,,,,,,,
48,0.555702734,,,,,,,,,,
49,0.504067052,,,,,,,,,,
50,0.445510274,,,,,,,,,,
51,0.382598614,,,,,,,,,,
52,0.319858262,,,,,,,,,,
53,0.261665794,,,,,,,,,,
54,0.210946894,,,,,,,,,,
55,0.16751774,,,,,,,,,,
56,0.130014661,,,,,,,,,,
57,0.097747585,,,,,,,,,,
58,0.071021645,,,,,,,,,,
59,0.049780813,,,,,,,,,,
60,0.033556435,,,,,,,,,,
61,0.021476721,,,,,,,,,,
62,0.013002596,,,,,,,,,,
63,0.007528093,,,,,,,,,,
64,0.004396227,,,,,,,,,,
65,0.002775975,,,,,,,,,,
66,0.00192091,,,,,,,,,,
67,0.001329271,,,,,,,,,,
68,0.000836824,,,,,,,,,,
69,0.000469013,,,,,,,,,,
70,0.000245435,,,,,,,,,,
71,0.000118419,,,,,,,,,,
72,0.000045769,,,,,,,,,,
73,0.000011455,,,,,,,,,,
74,0.000002418,,,,,,,,,,
75,0.000003904,,,,,,,,,,
76,0.00000181,,,,,,,,,,
77,0.000000761,,,,,,,,,,
78,0.00000036,,,,,,,,,,
79,0.000000171,,,,,,,,,,
80,0.000000081,,,,,,,,,,
81,0.000000038,,,,,,,,,,
82,0.000000018,,,,,,,,,,
83,0.000000009,,,,,,,,,,
84,0.000000004,,,,,,,,,,
85,0.000000002,,,,,,,,,,
86,0.000000001,,,,,,,,,,
87,0,,,,,,,,,,
88,0,,,,,,,,,,
89,0,,,,,,,,,,
90,0,,,,,,,,,,
91,0,,,,,,,,,,
92,0,,,,,,,,,,
93,0,,,,,,,,,,
94,0,,,,,,,,,,
95,0,,,,,,,,,,
96,0,,,,,,,,,,
97,0,,,,,,,,,,
98,0,,,,,,,,,,
99,0,,,,,,,,,,
100,0,,,,,,,,,,
101,0,,,,,,,,,,
102,0,,,,,,,,,,
103,0,,,,,,,,,,
104,0,,,,,,,,,,
105,0,,,,,,,,,,
106,0,,,,,,,,,,
107,0,,,,,,,,,,
108,0,,,,,,,,,,
109,0,,,,,,,,,,
110,0,,,,,,,,,,
111,0,,,,,,,,,,
112,0,,,,,,,,,,
113,0,,,,,,,,,,
114,0,,,,,,,,,,
115,0,,,,,,,,,,
障害等級割合,CL,,,CL2,,,,,,,
障害等級,１級,２級,３級,１級,２級,３級,,,,,
割合,0.199666785,0.451082333,0.349250882,0.293802203,0.393569075,0.312628722,,,,,
加給平均対象者数,KD,,,,,,,,,,
年齢,老齢,,,,障害,,,,遺族,,振替加算
,新法配偶者,旧法配偶者,１、２子,３子以降,新法配偶者,旧法配偶者,１、２子,３子以降,１、２子,３子以降,
0,0,0,0,0,0,0,0,0,0.421910004,0.224366492,0
1,0,0,0,0,0,0,0,0,0.426010088,0.216649883,0
2,0,0,0,0,0,0,0,0,0.430886507,0.209608675,0
3,0,0,0,0,0,0,0,0,0.43480796,0.200961921,0
4,0,0,0,0,0,0,0,0,0.436936609,0.190791074,0
5,0,0,0,0,0,0,0,0,0.438313098,0.182263553,0
6,0,0,0,0,0,0,0,0,0.441553778,0.177691417,0
7,0,0,0,0,0,0,0,0,0.447955818,0.175536799,0
8,0,0,0,0,0,0,0,0,0.455938257,0.170576888,0
9,0,0,0,0,0,0,0,0,0.461539774,0.157510574,0
10,0,0,0,0,0,0,0,0,0.461180005,0.134906374,0
11,0,0,0,0,0,0,0,0,0.454041622,0.106780962,0
12,0,0,0,0,0,0,0,0,0.43761919,0.079478687,0
13,0,0,0,0,0,0,0,0,0.404557832,0.054752611,0
14,0,0,0,0,0,0,0,0,0.347847759,0.033782991,0
15,0,0,0,0,0,0,0,0,0.275172315,0.016182976,0
16,0,0,0,0,0,0,0,0,0.169391349,0.0063094,0
17,0,0,0,0,0,0,0,0,0.080573392,0.002226264,0
18,0,0,0,0,0,0,0,0,0.014910649,0.000785995,0
19,0,0,0,0,0,0,0.000659771,0,0.699790917,0.001357872,0
20,0,0,0,0,0,0,0.00360164,0,0.831388418,0.003371325,0
21,0,0,0,0,0,0,0.009628186,0.000439444,0.931194968,0.00694705,0
22,0,0,0,0,0,0,0.019227079,0.001520783,0.99140939,0.013183248,0
23,0,0,0,0,0,0,0.031670597,0.003042802,1.020229007,0.022767126,0
24,0,0,0,0,0,0,0.045402796,0.004618613,1.035452303,0.035320939,0
25,0,0,0,0,0,0,0.058293589,0.005875788,1.052528525,0.049272238,0
26,0,0,0,0,0.004407393,0,0.068797572,0.006711781,1.072570628,0.06235489,0
27,0,0,0,0,0.01699525,0,0.077172551,0.007446195,1.096967529,0.07354582,0
28,0,0,0,0,0.041040481,0,0.085579595,0.008643714,1.121236965,0.083070715,0
29,0,0,0,0,0.079193441,0,0.096833922,0.010864525,1.145361848,0.092169264,0
30,0,0,0,0,0.130316548,0,0.113498962,0.014395173,1.170017632,0.101773504,0
31,0,0,0,0,0.189586072,0,0.136734699,0.019168656,1.195794254,0.112165462,0
32,0,0,0,0,0.249332326,0,0.165474866,0.024758656,1.222049269,0.122337254,0
33,0,0,0,0,0.300839286,0,0.196938242,0.030501728,1.248229581,0.13116197,0
34,0,0,0,0,0.335905925,0,0.228163457,0.035694875,1.27224588,0.137978521,0
