年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,地共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,2種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
57,173,1313,1425,275,159,147,138,135,134,116,121,119,140,127,138,102,105,114,130,147,131,151,202,249,289,319,294,352,510,672,975,1317,1754,2510,3518,5544,1510,2146,423,1336,12,7,7,0,0,0,0,0,0,0,0,29486
58,143,1211,1281,285,152,129,140,126,116,119,118,109,111,128,151,109,85,80,74,87,121,107,138,162,275,283,297,273,383,503,658,911,1069,1350,1799,3215,5448,1625,2242,407,1369,18,5,9,0,0,0,0,0,0,0,27421
59,121,1216,1238,218,122,123,115,116,86,104,121,117,111,86,105,80,91,71,68,71,89,114,128,136,195,280,274,264,334,412,534,634,707,881,1103,1584,3126,5510,1549,2462,413,1434,16,9,15,0,0,0,0,0,0,26583
60,136,1070,1039,198,115,110,98,108,91,77,100,96,99,82,80,56,57,64,58,61,83,88,95,105,135,202,280,248,306,327,393,428,430,541,616,928,1570,3091,5138,1465,2600,451,1203,23,6,14,0,0,0,0,0,24561
61,118,940,863,145,102,86,82,75,68,59,60,50,53,36,46,47,37,30,27,26,37,41,61,55,77,81,113,156,147,162,159,178,173,202,204,279,420,687,1294,1929,713,1241,193,525,18,3,6,0,0,0,0,12104
62,104,853,688,153,69,60,68,71,62,52,62,47,41,42,40,35,30,38,28,28,27,41,29,60,61,83,95,107,120,149,126,115,120,130,124,172,231,354,570,958,1677,594,990,154,505,10,4,9,0,0,0,10186
63,91,710,570,107,73,65,50,49,33,31,38,36,32,29,38,28,27,21,34,21,29,34,19,30,67,59,70,68,108,120,109,104,92,97,71,116,123,183,299,458,818,1172,472,631,106,250,13,7,11,0,0,7819
64,57,497,445,85,62,50,47,35,24,38,27,26,27,29,24,19,18,17,18,15,14,6,8,20,14,39,42,32,44,44,65,61,46,28,45,59,60,87,170,217,315,468,581,193,317,32,69,7,2,6,0,4651
65,36,394,296,70,39,48,25,26,24,29,27,24,24,22,17,12,10,8,9,10,14,11,13,9,17,13,28,26,29,27,25,31,20,37,35,51,44,63,89,126,135,174,238,368,144,186,47,86,1,3,3,3243
66,40,285,228,38,29,31,16,19,11,9,17,11,8,12,7,6,8,10,4,7,4,3,3,12,7,8,5,2,10,8,12,7,9,7,12,27,15,24,44,59,83,77,78,93,81,33,34,6,11,0,0,1570
67,28,203,134,26,15,8,19,9,8,7,5,8,10,5,3,3,7,3,3,7,2,3,4,6,3,5,3,5,7,10,7,8,5,8,7,14,13,22,31,36,55,38,43,37,48,42,22,20,5,1,1,1022
68,17,143,100,15,8,8,10,4,11,2,8,3,4,3,1,3,3,2,2,1,0,2,3,3,0,5,2,1,5,5,10,2,4,2,2,12,7,15,31,22,37,26,20,25,20,17,12,11,0,1,0,650
69,19,99,59,10,8,4,9,7,3,2,1,4,1,3,1,1,2,0,3,2,1,4,2,4,1,4,1,2,3,1,2,3,5,4,3,5,13,16,19,21,18,13,19,7,10,19,2,9,2,1,1,453
70,10,76,42,6,4,6,2,4,1,2,1,1,1,3,1,1,0,1,1,1,3,1,2,1,0,2,1,0,0,3,1,2,1,1,5,6,4,8,9,18,15,11,9,9,12,2,6,5,0,3,0,304
71,12,50,30,7,3,3,0,0,0,3,1,1,0,1,0,0,1,0,0,1,0,0,5,1,1,1,1,0,0,4,1,2,1,4,1,3,4,10,6,11,9,5,8,2,4,5,4,3,0,0,1,210
72,4,31,9,1,1,2,1,2,0,0,1,4,1,0,0,0,0,0,2,0,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,2,2,3,7,11,6,2,4,1,5,3,2,2,0,0,0,116
73,8,17,13,6,1,2,0,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,0,3,2,3,0,5,4,1,4,2,0,2,1,0,0,0,0,90
74,7,10,8,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,4,4,3,3,1,1,1,0,0,0,0,0,60
75,1,8,6,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,1,1,1,3,0,0,0,0,1,1,0,38
76,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合計,12364,97605,107314,58623,52296,50319,48641,45850,42546,41215,39476,36438,33459,31688,30462,26953,24509,24113,24622,24030,23002,20833,19393,20255,21527,23213,23262,24319,26683,28909,29443,28856,25340,22205,18040,16724,16143,15512,13223,9565,8297,5742,3894,2092,1292,619,222,165,33,16,6,1301348
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,待期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
