年度,2021年度末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制度,国共済,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被保険者種別,1種,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集計項目,被保険者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別１,現存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表別３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,被保険者期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,合計
57,31,70,50,54,37,39,41,54,50,29,27,124,47,56,42,49,60,53,67,87,81,122,138,135,139,184,208,238,318,515,579,598,842,1116,1541,1447,573,1092,1938,4761,22,6,21,0,0,0,0,0,0,0,0,17681
58,22,57,56,29,37,47,35,57,47,31,28,101,50,38,45,32,42,33,58,80,64,97,112,129,119,164,169,197,201,400,436,545,540,692,1062,1486,1456,615,930,1906,5110,23,3,18,0,0,0,0,0,0,0,17399
59,22,70,45,49,32,36,37,36,41,37,24,109,37,30,27,28,31,50,54,55,69,87,74,97,107,129,132,157,171,299,382,477,529,459,603,914,1414,1543,509,876,1629,4970,16,8,26,0,0,0,0,0,0,16527
60,43,76,48,25,38,32,37,46,41,39,26,80,27,21,40,26,29,39,50,58,48,66,70,84,70,102,106,131,141,215,311,393,389,483,414,576,903,1449,1285,456,849,1457,4196,22,5,15,0,0,0,0,0,15057
61,40,66,42,30,36,23,32,22,31,18,22,61,22,21,33,28,31,25,28,38,31,43,51,62,61,74,98,108,114,154,156,240,258,279,267,215,353,605,713,694,321,515,856,1924,13,3,13,0,0,0,0,8870
62,28,63,61,40,39,23,26,28,24,28,26,59,17,25,27,22,33,29,32,25,25,36,57,47,57,70,67,89,98,143,154,159,214,230,227,259,229,334,457,611,595,267,351,799,1624,14,3,11,0,0,0,7882
63,21,56,71,53,52,22,18,26,34,15,15,47,13,11,22,24,28,23,32,27,23,23,34,35,51,52,58,87,101,109,119,139,172,210,215,206,267,243,281,417,587,498,202,296,491,941,16,0,22,0,0,6505
64,19,37,41,45,64,24,24,24,23,13,12,34,7,12,20,8,15,13,11,17,17,19,15,19,34,36,43,41,53,92,85,120,131,151,159,168,203,222,194,217,311,433,325,218,202,315,604,4,2,19,0,4915
65,16,26,35,28,50,18,20,14,30,17,9,34,9,11,7,10,15,12,18,16,9,14,26,21,24,36,41,27,42,57,68,85,87,105,131,120,179,156,185,172,179,242,271,239,126,125,176,416,4,4,6,3768
66,11,38,24,12,28,19,19,9,10,5,3,3,3,4,1,7,4,5,2,2,6,7,6,6,5,4,4,4,5,7,8,11,10,14,11,12,17,16,20,23,25,14,41,30,22,10,11,8,5,0,0,571
67,10,44,20,21,27,8,12,8,12,4,1,1,2,2,1,4,2,2,1,2,4,0,0,4,1,2,3,5,7,5,5,5,7,9,7,10,16,18,17,14,26,22,28,21,23,20,3,5,6,7,0,484
68,2,19,31,19,17,9,10,8,1,3,3,0,4,1,1,0,3,3,0,1,3,1,2,1,1,2,0,0,0,2,5,3,6,5,7,5,10,13,16,15,26,25,19,12,31,18,3,1,1,2,2,372
69,2,13,14,10,20,12,10,12,9,9,3,1,1,0,2,1,3,1,2,0,1,3,0,1,0,0,1,1,1,1,1,2,5,5,3,5,5,11,9,10,8,7,15,19,19,13,21,4,4,1,2,303
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
